Description,"Abundance Ratio: (Control, TatCN) / (Control, None)","Abundance Ratio: (Control, TatCN) / (Control, Vehicle)","Abundance Ratio: (EtOH, Vehicle) / (Control, Vehicle)","Abundance Ratio: (EtOH, TatCN) / (EtOH, None)","Abundance Ratio: (EtOH, Vehicle) / (EtOH, None)","Abundance Ratio: (EtOH, TatCN) / (EtOH, Vehicle)"
Brain acid soluble protein 1 OS=Rattus norvegicus OX=10116 GN=Basp1 PE=1 SV=2,0.511,0.948,1.139,0.517,0.846,0.594
SH3 domain-binding glutamic acid-rich-like protein 3 OS=Rattus norvegicus OX=10116 GN=Sh3bgrl3 PE=1 SV=1,0.391,0.334,0.538,0.643,0.737,0.733
"Ig kappa chain C region, B allele OS=Rattus norvegicus OX=10116 PE=1 SV=1",6.747,1.392,1.857,14.313,14.207,0.768
Neuromodulin OS=Rattus norvegicus OX=10116 GN=Gap43 PE=1 SV=1,0.454,0.688,0.939,0.525,0.807,0.674
Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Rattus norvegicus OX=10116 GN=Fkbp1a PE=1 SV=3,0.968,0.676,0.91,0.672,1.178,0.541
Hemoglobin subunit beta-1 OS=Rattus norvegicus OX=10116 GN=Hbb PE=1 SV=3,3.343,2.169,1.706,3.446,2.261,1.362
Ig lambda-2 chain C region OS=Rattus norvegicus OX=10116 PE=4 SV=1,9.616,2.009,3.261,22.43,32.546,0.673
"Actin, cytoplasmic 1 OS=Rattus norvegicus OX=10116 GN=Actb PE=1 SV=1",0.552,0.714,0.876,0.851,1.049,0.823
D-dopachrome decarboxylase OS=Rattus norvegicus OX=10116 GN=Ddt PE=1 SV=3,0.419,0.519,0.668,0.579,0.844,0.747
Fructose-bisphosphate aldolase A OS=Rattus norvegicus OX=10116 GN=Aldoa PE=1 SV=2,0.53,0.786,0.896,0.91,1.045,0.894
L-lactate dehydrogenase A chain OS=Rattus norvegicus OX=10116 GN=Ldha PE=1 SV=1,0.477,0.955,1.105,0.919,0.936,0.857
"ATP synthase subunit d, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5pd PE=1 SV=3",0.412,0.593,0.904,0.629,1.088,0.583
Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Rattus norvegicus OX=10116 GN=Uchl1 PE=1 SV=2,0.422,0.499,0.734,0.704,1.029,0.627
Adenosine 5'-monophosphoramidase HINT1 OS=Rattus norvegicus OX=10116 GN=Hint1 PE=1 SV=5,0.488,0.647,0.849,0.909,0.903,0.782
Fructose-bisphosphate aldolase C OS=Rattus norvegicus OX=10116 GN=Aldoc PE=1 SV=3,0.525,0.732,0.859,0.649,0.862,0.841
Pyruvate kinase PKM OS=Rattus norvegicus OX=10116 GN=Pkm PE=1 SV=3,0.471,0.766,0.898,0.836,1.097,0.783
Calmodulin-3 OS=Rattus norvegicus OX=10116 GN=Calm3 PE=1 SV=1,0.468,0.594,0.785,0.555,0.921,0.673
Myelin basic protein OS=Rattus norvegicus OX=10116 GN=Mbp PE=1 SV=3,1.629,0.916,4.691,0.417,1.403,0.323
"10 kDa heat shock protein, mitochondrial OS=Rattus norvegicus OX=10116 GN=Hspe1 PE=1 SV=3",0.583,0.694,0.902,0.672,0.967,0.617
Peptidyl-prolyl cis-trans isomerase A OS=Rattus norvegicus OX=10116 GN=Ppia PE=1 SV=2,0.383,0.648,0.875,0.749,1.005,0.78
Hemoglobin subunit beta-2 OS=Rattus norvegicus OX=10116 PE=1 SV=2,2.653,1.749,1.894,3.654,3.336,1.058
"ATP synthase subunit beta, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5f1b PE=1 SV=2",0.381,0.641,0.876,0.595,1.108,0.541
Nucleoside diphosphate kinase A OS=Rattus norvegicus OX=10116 GN=Nme1 PE=1 SV=1,0.514,0.745,0.767,0.912,0.998,0.852
Creatine kinase B-type OS=Rattus norvegicus OX=10116 GN=Ckb PE=1 SV=2,0.42,0.674,0.701,0.61,0.753,0.826
14-3-3 protein zeta/delta OS=Rattus norvegicus OX=10116 GN=Ywhaz PE=1 SV=1,0.515,0.673,0.703,0.66,0.746,0.789
"ATP synthase subunit e, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5me PE=1 SV=3",0.676,0.748,0.775,0.652,0.928,0.759
Phosphoglycerate mutase 1 OS=Rattus norvegicus OX=10116 GN=Pgam1 PE=1 SV=4,0.42,0.613,0.788,0.863,0.987,0.8
Gamma-enolase OS=Rattus norvegicus OX=10116 GN=Eno2 PE=1 SV=2,0.565,0.694,0.93,0.576,1.181,0.567
Nucleoside diphosphate kinase B OS=Rattus norvegicus OX=10116 GN=Nme2 PE=1 SV=1,0.73,0.846,0.91,1.01,1.196,0.858
Profilin-1 OS=Rattus norvegicus OX=10116 GN=Pfn1 PE=1 SV=2,0.53,0.812,0.699,1.102,1.325,0.819
Cofilin-1 OS=Rattus norvegicus OX=10116 GN=Cfl1 PE=1 SV=3,0.532,0.585,0.826,0.741,0.895,0.76
Rab GDP dissociation inhibitor alpha OS=Rattus norvegicus OX=10116 GN=Gdi1 PE=1 SV=1,0.351,0.633,0.815,0.582,1.015,0.75
Dihydropyrimidinase-related protein 2 OS=Rattus norvegicus OX=10116 GN=Dpysl2 PE=1 SV=1,0.381,0.679,0.797,0.692,1.017,0.726
Hemoglobin subunit alpha-1/2 OS=Rattus norvegicus OX=10116 GN=Hba1 PE=1 SV=3,3.514,1.812,1.569,3.201,2.653,1.143
14-3-3 protein gamma OS=Rattus norvegicus OX=10116 GN=Ywhag PE=1 SV=2,0.426,0.691,0.706,0.744,0.763,0.846
Alpha-enolase OS=Rattus norvegicus OX=10116 GN=Eno1 PE=1 SV=4,0.604,0.722,1.03,0.823,1.299,0.674
"ATP synthase subunit alpha, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5f1a PE=1 SV=2",0.411,0.64,0.971,0.646,1.097,0.597
Acyl-CoA-binding protein OS=Rattus norvegicus OX=10116 GN=Dbi PE=1 SV=3,0.661,0.49,0.702,0.983,1.665,0.806
Phosphatidylethanolamine-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Pebp1 PE=1 SV=3,0.564,0.742,0.903,0.642,0.917,0.72
Triosephosphate isomerase OS=Rattus norvegicus OX=10116 GN=Tpi1 PE=1 SV=2,0.503,0.69,0.805,0.769,0.971,0.834
V-type proton ATPase subunit F OS=Rattus norvegicus OX=10116 GN=Atp6v1f PE=1 SV=1,0.325,0.599,0.876,0.554,0.661,0.793
"Aspartate aminotransferase, cytoplasmic OS=Rattus norvegicus OX=10116 GN=Got1 PE=1 SV=3",0.446,0.801,1.082,0.675,0.858,0.671
"ATP synthase subunit O, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5po PE=1 SV=1",0.439,0.55,1.024,0.951,1.129,0.813
Protein S100-A8 OS=Rattus norvegicus OX=10116 GN=S100a8 PE=1 SV=3,9.382,1.369,3.4,100,100,2.664
14-3-3 protein beta/alpha OS=Rattus norvegicus OX=10116 GN=Ywhab PE=1 SV=3,0.678,0.798,0.906,0.762,0.965,0.788
Glutathione S-transferase Mu 7 OS=Rattus norvegicus OX=10116 GN=Gstm7 PE=1 SV=2,0.566,0.799,0.877,0.549,0.803,0.712
14-3-3 protein epsilon OS=Rattus norvegicus OX=10116 GN=Ywhae PE=1 SV=1,0.587,0.759,0.79,0.795,0.976,0.712
Synaptotagmin-1 OS=Rattus norvegicus OX=10116 GN=Syt1 PE=1 SV=3,0.503,0.809,0.799,0.488,0.724,0.616
Transgelin-3 OS=Rattus norvegicus OX=10116 GN=Tagln3 PE=1 SV=2,0.531,0.604,1.049,0.724,1.085,0.605
"Malate dehydrogenase, cytoplasmic OS=Rattus norvegicus OX=10116 GN=Mdh1 PE=1 SV=3",0.417,0.69,0.893,0.69,0.774,0.754
Voltage-dependent anion-selective channel protein 1 OS=Rattus norvegicus OX=10116 GN=Vdac1 PE=1 SV=4,0.465,0.844,1.085,0.757,1.072,0.674
Syntaxin-1A OS=Rattus norvegicus OX=10116 GN=Stx1a PE=1 SV=1,0.469,0.589,0.589,0.498,0.781,0.646
Astrocytic phosphoprotein PEA-15 OS=Rattus norvegicus OX=10116 GN=Pea15 PE=1 SV=1,0.814,0.871,0.936,0.671,1.127,0.893
Albumin OS=Rattus norvegicus OX=10116 GN=Alb PE=1 SV=2,3.821,1.071,1.429,10.518,8.518,1.27
Ig gamma-2A chain C region OS=Rattus norvegicus OX=10116 GN=Igg-2a PE=1 SV=1,4.136,1.258,2.139,8.053,13.407,0.813
Glyceraldehyde-3-phosphate dehydrogenase OS=Rattus norvegicus OX=10116 GN=Gapdh PE=1 SV=3,0.527,0.604,0.668,0.635,0.779,0.774
Dihydropyrimidinase-related protein 1 OS=Rattus norvegicus OX=10116 GN=Crmp1 PE=1 SV=1,0.333,0.577,0.591,0.738,1.121,0.847
"Cytochrome c, somatic OS=Rattus norvegicus OX=10116 GN=Cycs PE=1 SV=2",0.471,0.636,1.098,0.599,1.049,0.776
Peroxiredoxin-6 OS=Rattus norvegicus OX=10116 GN=Prdx6 PE=1 SV=3,0.409,0.572,0.819,0.598,0.922,0.565
Tubulin beta-3 chain OS=Rattus norvegicus OX=10116 GN=Tubb3 PE=1 SV=1,0.388,0.579,0.639,0.536,0.84,0.727
Glucose-6-phosphate isomerase OS=Rattus norvegicus OX=10116 GN=Gpi PE=1 SV=1,0.387,0.81,0.923,0.82,0.911,0.964
Heat shock cognate 71 kDa protein OS=Rattus norvegicus OX=10116 GN=Hspa8 PE=1 SV=1,0.456,0.719,0.822,0.818,0.967,0.864
Phosphoglycerate kinase 1 OS=Rattus norvegicus OX=10116 GN=Pgk1 PE=1 SV=2,0.505,0.696,0.97,0.813,1.158,0.765
Tubulin alpha-4A chain OS=Rattus norvegicus OX=10116 GN=Tuba4a PE=1 SV=1,0.424,0.588,0.562,0.469,0.826,0.618
Tubulin beta-2A chain OS=Rattus norvegicus OX=10116 GN=Tubb2a PE=1 SV=1,0.395,0.558,0.639,0.481,0.832,0.595
Tubulin beta-2B chain OS=Rattus norvegicus OX=10116 GN=Tubb2b PE=1 SV=1,0.01,0.01,0.01,0.01,0.01,
